campaign,circles,bestCost,jobId
growth,97,317.8032099406,c42ff582-79d4-47cc-9679-1223dcc4aa01
growth,98,316.6557490031,8a6e551a-7523-4c75-9c26-faff5591a1ae
growth,99,316.0225270589,ec51c4e5-4daf-42c7-95bd-7aef2f81945c
growth,100,315.2858467102,d04498d8-7d17-4756-85e2-706cff3c5ca7
growth,101,314.4078623454,f63d928c-1aec-42e6-b0b3-03b76551b899
growth,102,313.7913462321,94f54a93-7d20-45c1-b97b-d43085f89672
growth,103,313.1052449544,082d696e-02bd-46ff-919c-9eafcd5677d5
growth,104,312.4028460185,34bf6b6b-8f48-48f7-85b6-7634500c002c
growth,105,311.7321688334,911a9154-d230-47a9-bc4c-806b12932ded
growth,106,310.0237731934,a14f3a0e-4629-4a25-8bcf-00c094aba9c7
growth,107,309.1451009115,3d31aceb-54ec-43f1-9269-d3580e9ff5bb
growth,108,308.5394833883,4cd14296-ae09-4ca8-8295-83cc2ebc9d2c
growth,109,307.5811767578,a7d442a0-1e62-49a4-984b-528eadef1c43
growth,110,306.3594131470,01e03b0f-2b36-47b6-9771-ac720ee25ba9
growth,111,305.5857391357,d1ceef4d-490b-4694-9a47-fc1b73f871f5
growth,112,304.9983584086,eaf11ce7-dfa8-4c8a-8f52-d926224670c9
growth,113,304.1452496847,05dd33fd-27b4-474d-9c1d-9e2b699d2bb8
growth,114,303.3626060486,88b44211-1707-4516-b7be-dc9096f3c6a1
growth,115,302.6034787496,da2c9656-7d5c-4664-b55d-7ca5c6e33b2d
growth,116,301.8637199402,6ee7017a-5fec-4c1a-921a-823fcb8e88c0
growth,117,301.0793139140,b5ffbabe-a803-4273-b366-6ee14b68e959
growth,118,300.4320971171,3cac49bf-b354-4193-b886-2ecdcf56c6f5
growth,119,299.7861035665,d718e00d-cbc7-47fc-92fa-7bd5608a3027
growth,120,299.1818618774,ad55ebe6-ae0f-410a-b760-ea473524d834
growth,121,298.6600011190,58251343-1b06-436b-b2c5-9faf57748297
growth,122,297.7679888407,a1de8121-f14f-4e6f-a454-f6e8ce04e1a2
growth,123,297.0246899923,a5696d57-f880-4227-a924-e155508b18b9
growth,124,296.4344342550,f51e8556-27e4-408a-82a1-1cbf0a710ccb
growth,125,295.8602727254,1eecb23b-1158-45c1-8955-5dcfefd4e651
growth,126,295.1603800456,9216227f-ade0-4250-80a3-60aad9586cea
growth,127,294.1957244873,2258fb64-8275-4181-8c6f-1f9d46ddf552
growth,128,293.3710835775,ba5eb1ee-4df2-4216-94ec-df3ba2dcef56
growth,129,292.7300796509,82fff255-e3ce-4769-86dd-d9e057a3931f
growth,130,292.1220041911,660ce41a-86f5-4773-8593-a32beadbbcd9
growth,131,291.1252975464,024775d6-5553-4f68-870f-93347fb44acf
growth,132,290.4596519470,d1310a5b-1183-4748-9293-f049fa4a5577
growth,133,289.2008730570,9aa84c16-0244-4bd0-904e-9d0d5f4f65b4
growth,134,288.5388679504,5ae5687e-cc93-401c-8a0e-ea03ab704a13
growth,135,287.9769020081,7f8386b7-2f4a-45ff-9d12-a5ce483ce529
growth,136,287.0176823934,5881bf38-39fe-41eb-9255-46731126b6c2
growth,137,286.5541051229,93e7858c-a37d-4f69-b11d-7fb6baa13687
growth,138,285.7909380595,7eb560fc-0493-47be-a901-23d2a230ff7e
growth,139,285.0959536235,7ad69798-18cd-42ec-b155-efe43a9f7a90
growth,140,284.5704778035,072efdd2-9db3-4d4c-9f91-7ab70d2d8706
growth,141,283.9865341187,41cc691e-5161-4630-849a-3557754121c7
growth,142,283.3260714213,1a9b0445-9f6c-4310-a4d5-47cdb1a4f07b
growth,143,282.8617248535,6b8a27b0-712d-411e-bfb6-9f0b9b4af8c7
growth,144,282.4116134644,151dd333-580d-40d9-be95-cb0cfd2d9640
growth,145,281.8016141256,d42b113b-f25e-47f8-b21f-d3086d492489
growth,146,281.3167419434,8e115975-aa1f-4d0f-867d-387dd021d6b1
growth,147,280.6805992126,086e8714-a374-47c5-b7e1-ca1ea5fc178f
growth,148,280.2135276794,c6f0b3d6-0d1c-4103-8f09-8286b7c0e925
growth,149,279.5982119242,0c0ec08c-bff0-4654-a6cf-715a07c6f969
growth,150,279.0720481873,de3bdc97-a579-4a5b-8cbe-879ccc0bf4b2
growth,151,278.5861816406,2237de34-6376-4822-9995-92bf28fe37cb
growth,152,278.0357640584,01889fd2-0247-4672-ad95-11b4dc681382
growth,153,277.1596603394,b6482ffb-e97b-4813-aa59-5e6f5bdd1690
growth,154,276.3090744019,477252bb-7254-4296-a663-46b2d39d4b3e
growth,155,275.4078280131,b0a15120-6a74-46bd-a553-8b9a812b0eee
growth,156,274.9309145610,eef9df14-9eac-4c4f-992e-f259a030cd6a
growth,157,274.4565175374,48e49dd0-81fb-4251-b96b-e70a6f917a2e
growth,158,273.7546717326,b36c33d8-4928-43e8-9abf-489467ba8ae9
growth,159,273.0969289144,0a71e708-062c-4e92-81b8-39b26dd85cf5
growth,160,271.8104705811,c6cbb6ea-5566-4629-b95b-613d14c426d8
growth,161,271.2112515767,46a8d638-35c6-49db-a819-a9cee8767621
growth,162,270.6466153463,bc8751b1-7e8d-4fc6-a39e-b4fe6f22e194
growth,163,270.2526143392,e57b4410-a0a7-48ee-bf02-97106a73f531
growth,164,269.4818789164,d22f04be-3ec7-4b7b-a798-bf8df0e34be4
growth,165,269.0787137349,83f8389e-47ca-43fb-aaf3-1f9181824dfd
growth,166,267.6809768677,f06eeda5-66e9-46cf-ae49-ae41f714c1bb
growth,167,267.0767682393,3f8e13e3-ac6c-4aea-9dec-2d371c3bbdee
growth,168,266.7043431600,977fc377-fc13-4018-bc0c-a01d0a01f651
growth,169,266.0602963765,c3ced527-670f-44c4-8c79-52f9def33709
growth,170,265.6868286133,46e2a1e0-1dfa-4f44-bc04-b12aa49ed3e0
growth,171,264.9553375244,b1069b52-ef31-4bd8-83c8-702e810171bb
growth,172,264.1415214539,15639aba-8e11-4a74-bc9c-3d2f4edfa662
growth,173,263.7019195557,9e103971-bc97-4c37-9022-b1af8b1abacd
growth,174,262.5133921305,fca47436-e64a-4d2a-b122-22077d5da4e4
growth,175,261.9532661438,43a51a2d-411e-482a-aa9e-932672a1dafb
growth,176,261.5597483317,d678c820-ef2b-4ddb-9ac1-656b3dbbe8fd
growth,177,261.0572789510,883384cb-5864-48de-b746-53ba051fbc93
growth,178,260.5551071167,be2063d8-5964-48ee-a326-6f6bf4ada702
growth,179,260.2210006714,76435847-808d-47a5-9b6a-570487f9428e
growth,180,259.8492113749,273d17b1-a708-4791-b86d-260c34fa2971
growth,181,258.9844042460,fa686ff0-aec1-4819-a533-a6b62ad9dcbf
growth,182,258.6384366353,1a04ed24-758a-4d57-96fd-32df3bcc9350
growth,183,257.9683303833,ee7ba086-bae3-4667-8c8b-de71486f9b78
growth,184,257.6393839518,cad82d9a-7ccf-4692-9ff1-f2dbb9cc91ea
growth,185,257.2999038696,21c45753-9b83-4799-8c4d-614849fd9c83
growth,186,256.1996866862,6da9cc2e-4b18-452d-bb28-54257fb334b2
growth,187,255.7281583150,5dd6495a-2d25-4990-9f25-973011de9c3f
growth,188,254.8531468709,96c62071-d4d8-4f23-b366-de87dc5f9390
growth,189,254.2884190877,b4a80efa-d94b-42a0-b714-e76215c2b768
growth,190,253.7486101786,17ce2bc3-71b5-4625-9c33-ae4f17e568f1
growth,191,253.3452936808,3cc6ae4f-6400-4b93-99aa-586f042a8481
growth,192,252.9918937683,aa767dfd-8250-4fbe-9547-17f9c069a21a
growth,193,252.6034736633,06aff6d2-ea41-4a55-93a8-cb0bcffb91e7
growth,194,252.0709635417,63716986-5c5c-436f-abda-b14c5c09970f
growth,195,251.6330006917,5ab79dcd-0d3e-4244-8084-abbf93e51dcb
growth,196,251.2769724528,25e3efbb-6593-4e0c-b278-9abed9f7531b
growth,197,250.8487040202,af7e6b01-32f9-43ce-9014-02c865fb39f6
growth,198,250.4643071493,0dce39d4-9662-4078-abf1-f465389f7c27
growth,199,249.9992624919,caabccd3-dedf-4075-bda2-4add8fef974e
growth,200,249.6659062703,aa32a428-473d-4844-b9c8-f65156c36499
growth,201,249.3754310608,d2f2fa39-effc-4192-903f-0273dcb3a4a6
growth,202,249.0632794698,87aa1f72-4821-4876-bab5-0b96150c1fb8
growth,203,248.7344589233,e613719a-a7fc-491a-9464-e46b26cebb0a
growth,204,248.3964258830,8195f14b-3b22-47f7-93e2-c932e1353679
growth,205,248.0140177409,48d073d4-0675-483e-b780-614d32a66c51
growth,206,247.6245816549,6e079502-ffbc-4f0a-8887-f72aec33707e
growth,207,247.3234456380,66d57d1e-9d55-45f8-a272-b12e1d53eac7
growth,208,246.9452082316,9e5aaea9-2766-408d-be36-3d32e89469bb
growth,209,246.4983673096,659d1906-8c25-4ac2-b749-9a72114380cf
growth,210,246.2015686035,80bfacfb-67b6-4730-9322-16bba6ddbf8c
growth,211,245.7956352234,ec6ec33a-2cf0-4717-bbdc-9f0c02789f34
growth,212,245.3559633891,fa9e5fd6-9d08-493a-bf14-5675b638f7f3
growth,213,244.9066403707,7326543a-4f81-4f08-beb1-32525b8b9eb6
growth,214,244.2350374858,1daa55fd-49a4-438f-b5cb-86ee58c7762e
growth,215,243.8603350321,b461b0ca-5154-440e-8be2-0f6802f9adde
growth,216,243.3463083903,65f2ae6d-829a-4ddb-81ca-d5be8f55fc80
growth,217,242.8159815470,2fefd4ca-7d4f-4c82-b069-c851ab1443c3
growth,218,242.3385302226,e2d7acb2-6aeb-4988-9fb5-8982d5e97393
growth,219,241.8842302958,e083934d-8e5e-4cca-805f-a125f4ba281b
growth,220,240.5924072266,ab9b5109-7e7f-40a0-a677-43707ebc069c
growth,221,240.1608276367,34765534-1c20-4cdd-82bc-eef54b6584f5
growth,222,239.7866350810,4dc0276f-d328-4cbb-957e-e6747b0cea99
growth,223,239.4594726562,7bd2405e-7c0c-48f0-8271-43ac1804607e
growth,224,238.9111785889,e18fe100-6326-438a-8876-f981035acc34
growth,225,238.4893252055,1d2b3f77-2675-40b7-ad3a-c183930a97cb
growth,226,238.1565399170,797fa120-29b0-4698-9986-11f6e7d6432e
growth,227,237.8783289591,d5a4cb45-dca8-4e25-bee8-600047ec72f6
growth,228,237.4306246440,9b7d9f0b-c111-4194-b974-3ec248554cd7
growth,229,237.1709238688,08d48a37-1312-4193-92d5-453b3b4ecb69
growth,230,236.9157422384,c8d591bb-107a-40df-a5ba-a027f63d660b
growth,231,236.6375427246,a5e9e3f9-831b-45b3-a7b9-8d8082ebb341
growth,232,236.3648134867,72ab2770-89bb-4041-88a6-f2315bc04ab5
growth,233,236.0731379191,c43c9b96-ca87-4821-a9f1-87e894977a89
xpoleng-campaign,8,728.3824068705,51213ca7-2f05-472c-9491-50ad6c172328
xpoleng-campaign,9,691.7947006226,c9b0a8ec-abf2-435c-a7e5-e0bf042388e2
xpoleng-campaign,10,657.9584770203,28e87a5f-7cd7-43f3-9f93-52ec000af6a9
xpoleng-campaign,11,634.7464040120,4d1f4192-0aaa-4c4b-abb5-3e2045b8bf71
xpoleng-campaign,12,615.7205950419,8f9c2dd1-e860-4262-b0bb-a08cc443371a
xpoleng-campaign,13,596.3763097127,62f19059-cc79-4efd-908f-d2ef4717e007
xpoleng-campaign,14,580.9298985799,02e39c08-72e5-4913-8047-afc447ef8bea
xpoleng-campaign,15,566.2091852824,19601293-59f2-4474-b1cb-96617417ebe8
xpoleng-campaign,16,553.7141278585,0cb1a8a0-8299-400c-9c14-d02a4de8866b
xpoleng-data,8,728.3824068705,af3cd260-5f54-4657-ac65-c455b5f07b9f
xpoleng-data,9,694.9695027669,097c58ed-2c4e-414c-9a51-76a7bb4a6f45
xpoleng-data,10,690.9520263672,6c0cc22d-34a2-4ff5-aad2-78baebf0d3c7
xpoleng-data,11,675.9073397319,2c13a664-3bce-437a-83d3-c0deece3fca2
xpoleng-data,12,651.7547912598,e7b904a5-3911-4962-84d8-3c2be066abce
xpoleng-data,13,634.8319905599,916061dc-b8cd-4537-850a-85bdb5ca3cdc
xpoleng-data,14,619.9453442891,51aff3fe-0f0b-4a6f-8fdb-02e45fe318e9
xpoleng-data,15,612.5275001526,d5c38a6e-b6a4-4a3c-9fd1-fd4a3acd143a
xpoleng-data,16,602.9045130412,6e2fcc33-37a3-456a-9c6c-3ff1c14c3c04
xpolish,8,725.0288747152,3aa41802-3fe9-464c-9adf-67014a629489
xpolish,16,546.1567522685,6956cd00-b416-4b38-b6e8-aa973dfe3c8a
xwidth,8,728.3824068705,9d42225b-9f5a-4c57-8725-8ee959e9994e
xwidth,9,703.1070543925,548556b1-e38c-4e2e-a762-206cf8a0a726
xwidth,10,677.6806259155,483c1da4-0512-4fb0-9812-16020c7149c2
xwidth,11,657.5674184163,fbe452e4-28e1-4c5d-bdc7-e952558cd7a6
xwidth,12,633.8591613770,b468c3b4-8c83-4873-855c-b5c843257be8
xwidth,13,620.6851209005,f5624a79-fc26-4563-ae75-3a28f13db869
xwidth,14,597.8080813090,92cd7c50-7dcf-4e15-a12f-f056ae90631b
xwidth,15,588.0182800293,0221de7f-db54-4d32-9cd3-6242ff0974b4
xwidth,16,559.5857671102,20ec4e8f-ce24-49df-bbfb-2741d271479f
